name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Early_OTA_1_R1,Early_OTA_1_R2,Early_OTA_1_R3,Early_OTA_2_R1,Early_OTA_2_R2,Early_OTA_2_R3,Early_PTA_1_R1,Early_PTA_1_R2,Early_PTA_1_R3,Early_PTA_2_R1,Early_PTA_2_R2,Early_PTA_2_R3
SCA-6_Chr3v1_08468,AGL8,189,20.3,357.8,22.759,4.5,0.75,6.04,1.5e-09,2.1e-05,0,0,23.9,2.1,6.4,0,84.2,5.1,121.2,312.2,244.6,777.9,310.6,380.2
SCA-6_Chr10v1_28088,ANXD4,475.2,162.5,787.9,4.496,2.2,0.4,5.46,4.8e-08,6.8e-04,1e-04,0,188.3,208.4,107.4,103,131.5,236.4,326.8,869.6,1024.9,1129,473.3,903.5
SCA-6_Chr2v1_05419,EXOL5,518.3,873,163.6,0.214,-2.2,0.4,-5.52,3.4e-08,4.8e-04,1e-04,0,746.1,955.3,818.9,1184.8,1044,488.8,401.6,134.1,204.7,0,143.2,98
SCA-6_Chr6v1_17728,PPA1,92.3,134.1,50.5,0.112,-3.2,0.58,-5.45,5.1e-08,7.3e-04,1e-04,0,61,74.3,250,129.7,182.8,106.5,8.3,6.9,18.8,221.4,12.1,35.6
SCA-6_Chr5v1_16210,LSH1,1229.1,2202.7,255.4,0.153,-2.7,0.51,-5.27,1.4e-07,2.0e-03,2e-04,0,1139.4,2475.9,921.4,5625.4,1647.5,1406.6,616.7,118,459.1,4,207.5,127.3
SCA-6_Chr3v1_10237,SCA-6_Chr3v1_10237,104.4,184.2,24.6,0.079,-3.7,0.88,-4.16,3.1e-05,4.4e-01,0.0267,0,109.6,86.7,209.1,373,248.5,78.1,82,0,27.7,30.7,6.1,0.8
SCA-6_Chr9v1_23373,C92C6,99.8,40.1,159.4,4.734,2.2,0.54,4.19,2.8e-05,4.0e-01,0.0267,0,25.6,51.6,36.1,33.7,61.8,32.1,128.3,409.4,192.4,0,98.3,128.1
SCA-6_Chr10v1_27491,SCA-6_Chr10v1_27491,407.3,602.3,212.4,0.357,-1.5,0.37,-3.99,6.5e-05,9.2e-01,0.0388,0,655,475.6,802.9,534.7,641.7,504.1,490.7,157.3,253.6,108.9,142,121.7
SCA-6_Chr2v1_04326,SCA-6_Chr2v1_04326,861.6,1364.1,359.1,0.284,-1.8,0.45,-4.02,5.7e-05,8.1e-01,0.0388,0,1614.1,2980.3,928.7,1051.5,1032.2,577.8,775.9,271.8,418.3,186.3,304.6,197.6
SCA-6_Chr9v1_24189,TPS11,168.2,34.4,301.9,4.915,2.3,0.57,4,6.4e-05,9.1e-01,0.0388,0,11.5,30.9,29.6,65.7,18.4,50.3,46.3,65.9,47.3,1029.3,432,190.5
