name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr3v1_09040,SOC1,466.8,59.5,874,17.092,4.1,0.43,9.45,3.4e-21,5.1e-17,0,0,40.1,111.6,9.4,108.5,25.5,62,1166,666.7,698.3,1398.1,634.9,680.2
SCA-6_Chr3v1_08468,AGL8,192.4,33.8,351,9.713,3.3,0.53,6.15,7.5e-10,1.1e-05,0,0,7.1,49.8,4.7,40.3,60.5,40.6,212.4,624.5,274.5,308.3,486.9,199.2
SCA-6_Chr2v1_05915,SWT15,47.1,90.6,3.5,0.026,-5.3,1.13,-4.64,3.6e-06,5.4e-02,0.0179,0,275.7,118.6,64.3,0,33.1,51.8,0,6,6.7,8.5,0,0
SCA-6_Chr6v1_18722,NES2,197.5,104,291.1,2.455,1.3,0.31,4.18,2.9e-05,4.4e-01,0.0955,0,96.6,63.8,54.9,79.1,79.4,250.1,212.4,172.4,171.9,243.8,586.3,359.7
SCA-6_Chr9v1_24462,KN14T,7.5,14.7,0.2,0.016,-6,1.43,-4.16,3.2e-05,4.8e-01,0.0955,0,11.8,22.9,8.2,17.1,3.8,24.6,1.3,0,0,0,0,0
SCA-6_Chr3v1_09066,DRE1D,12.4,24.9,0,0.007,-7.1,1.84,-3.86,1.1e-04,1.0e+00,0.2154,1,11.8,27.9,25.7,0,0,83.9,0,0,0,0,0,0
SCA-6_Chr3v1_10458,CCD4,58.7,88.7,28.7,0.337,-1.6,0.41,-3.87,1.1e-04,1.0e+00,0.2154,2,90.7,104.6,76,110.1,88.8,62,45,44.6,17.3,31.3,17.6,16.3
SCA-6_Chr8v1_22575,ARAD1,10.8,18.9,2.8,0.026,-5.3,1.35,-3.89,1.0e-04,1.0e+00,0.2154,2,2.4,18.9,33.9,4.7,25.5,27.8,0,0,0,0,12.8,4.1
SCA-6_Chr3v1_07953,NACK1,29.6,21.7,37.6,50.264,5.7,1.5,3.78,1.6e-04,1.0e+00,0.2274,2,0,9,0,120.9,0,0,16.7,0,48,59.8,11.8,89.2
SCA-6_Chr5v1_16210,LSH1,705.8,1081.1,330.5,0.316,-1.7,0.44,-3.77,1.7e-04,1.0e+00,0.2274,2,1095.8,341.7,666.3,2703.2,622.6,1056.9,370.7,217,346.5,445.8,378.9,224.2
SCA-6_Chr9v1_23160,HSF30,9.7,18.9,0.4,0.019,-5.7,1.51,-3.81,1.4e-04,1.0e+00,0.2274,3,23.6,11,35.1,12.4,0.9,30.5,2.6,0,0,0,0,0
SCA-6_Chr7v1_19128,RFS1,163.2,68.9,257.5,5.475,2.5,0.66,3.73,1.9e-04,1.0e+00,0.239,3,157.9,88.7,40.9,111.6,11.3,3.2,141.6,598,383.8,192.6,34.2,194.6
SCA-6_Chr7v1_19620,AT18F,84.1,114.6,53.7,0.256,-2,0.53,-3.7,2.1e-04,1.0e+00,0.2486,3,124.9,136.5,137.9,48.1,124.7,115.4,12.9,36.2,20,12.3,136.3,104.4
SCA-6_Chr1v1_02812,GRXS6,8,16,0,0.01,-6.6,1.84,-3.57,3.5e-04,1.0e+00,0.298,4,35.3,0,2.3,27.9,5.7,25.1,0,0,0,0,0,0
