name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,OTA_1_R1,OTA_1_R2,OTA_1_R3,OTA_2_R1,OTA_2_R2,OTA_2_R3,OTA_3_R1,OTA_3_R2,OTA_3_R3,OTA_4_R1,OTA_4_R2,OTA_4_R3,PTA_1_R1,PTA_1_R2,PTA_1_R3,PTA_2_R1,PTA_2_R2,PTA_2_R3,PTA_3_R1,PTA_3_R2,PTA_3_R3,PTA_4_R1,PTA_4_R2,PTA_4_R3
SCA-6_Chr3v1_08468,AGL8,193,26.7,359.3,12.559,6.8,0.51,7.17,7.60E-13,1.20E-08,0,0,26.7,2.3,7.2,0,94.1,5.7,6.2,47.4,4.3,32.1,58.5,36.1,134.2,353.3,270.6,872.5,343.1,430.8,185,568.3,234.2,278.3,463.1,177.8
SCA-6_Chr3v1_09040,SOC1,452.6,70.7,834.4,13.332,5.7,0.74,5.07,3.90E-07,6.30E-03,0.0021,0,350.5,0,0,0,164.6,17.2,35.4,106.3,8.6,86.5,24.7,55.1,734.2,969.5,1085.2,349.6,1325.7,857.1,1015.8,606.7,595.7,1262.3,603.9,607.2
SCA-6_Chr5v1_16210,LSH1,1002.6,1715.1,290.1,0.203,5.3,0.45,-5.09,3.70E-07,5.90E-03,0.0021,0,1276.1,2782.9,1038.1,6464.8,1841.7,1576.4,967.6,325.5,612.8,2154.2,602.3,939,682.8,133.5,507.9,4.5,229.2,144.2,322.9,197.5,295.6,402.5,360.4,200.1
SCA-6_Chr9v1_23823,RACD,13.9,24.7,3.1,0.063,4.5,0.82,-4.84,1.30E-06,2.10E-02,0.0052,0,68.3,5.8,29.8,30.6,16.2,12.3,25,3.8,14,11.1,48.4,31.3,0,2.6,0.9,0,1.3,0,1.1,0,0,4.3,10.7,16.4
SCA-6_Chr2v1_05915,SWT15,24.6,47.6,1.7,0.027,4.5,1.12,-4.66,3.10E-06,5.00E-02,0.0101,0,6.9,11.6,8.1,51,0,0,243.5,112.9,59.1,0,32,46,0,0,0,0,0,0.9,0,5.5,5.7,7.7,0,0
SCA-6_Chr7v1_19128,RFS1,147,58.7,235.3,4.521,4.5,0.48,4.56,5.20E-06,8.30E-02,0.0138,0,79.2,100.9,44.2,65.3,8.8,41.7,139.4,84.5,37.6,88.9,11,2.8,121,718.3,101.9,307,80.4,120,123.3,544.2,327.4,173.8,32.5,173.7
SCA-6_Chr10v1_28088,ANXD4,380.2,179.9,580.5,3.175,4.3,0.4,4.18,2.90E-05,4.70E-01,0.0668,0,210.9,234.2,121,118.4,147,264.9,331.9,241,18.3,222.3,86.8,161.9,361.8,983.9,1134,1266.3,522.8,1023.6,257.9,171.2,155.7,283.5,403.1,402
SCA-6_Chr5v1_14443,SELFP,6.5,13,0,0.014,4.3,1.53,-4.01,6.00E-05,9.60E-01,0.1063,1,0,35.9,33.4,0,19.1,13.9,0,0,11.8,24.7,9.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0
SCA-6_Chr6v1_18830,PER42,7732.3,10821.5,4643.2,0.378,4.3,0.35,-4.03,5.60E-05,9.00E-01,0.1063,1,9142.5,5468.4,19188.9,1945.4,3119,4870.6,3788.3,4191.5,16047.2,5402.7,16292.1,40400.9,1013.1,2943.8,3749.2,2608.1,1995.9,3232.1,2976.8,2238.1,3989,4774.3,14286.2,11911.3
SCA-6_Chr2v1_04032,TAM41,7.1,13.6,0.6,0.021,4.3,1.42,-3.92,9.00E-05,1.00E+00,0.1223,1,1,2.3,0.9,53.1,25,0.8,0,10.4,20.4,16.1,0,32.8,0,0,0,0,0,0,0,0,0,0,7.1,0
