"","sample","treatment","tissue","time","replicate","hours","group"
"1","DD-DTR-T1_R1","D","R","1","1","5","D_5"
"2","DD-DTR-T1_R2","D","R","1","2","5","D_5"
"3","DD-DTR-T1_R3","D","R","1","3","5","D_5"
"4","DD-DTR-T2_R1","D","R","2","1","9","D_9"
"5","DD-DTR-T2_R2","D","R","2","2","9","D_9"
"6","DD-DTR-T2_R3","D","R","2","3","9","D_9"
"7","DD-DTR-T3_R1","D","R","3","1","13","D_13"
"8","DD-DTR-T3_R2","D","R","3","2","13","D_13"
"9","DD-DTR-T3_R3","D","R","3","3","13","D_13"
"10","DD-DTR-T4_R1","D","R","4","1","17","D_17"
"11","DD-DTR-T4_R2","D","R","4","2","17","D_17"
"12","DD-DTR-T4_R3","D","R","4","3","17","D_17"
"13","DD-DTR-T5_R1","D","R","5","1","21","D_21"
"14","DD-DTR-T5_R2","D","R","5","2","21","D_21"
"15","DD-DTR-T6_R1","D","R","6","1","25","D_25"
"16","DD-DTR-T6_R2","D","R","6","2","25","D_25"
"17","DD-DTR-T6_R3","D","R","6","3","25","D_25"
"18","DD-DTR-T7_R1","D","R","7","1","29","D_29"
"19","DD-DTR-T7_R2","D","R","7","2","29","D_29"
"20","DD-DTR-T7_R3","D","R","7","3","29","D_29"
"21","DD-WTR-T1_R1","W","R","1","1","5","W_5"
"22","DD-WTR-T1_R2","W","R","1","2","5","W_5"
"23","DD-WTR-T1_R3","W","R","1","3","5","W_5"
"24","DD-WTR-T2_R1","W","R","2","1","9","W_9"
"25","DD-WTR-T2_R2","W","R","2","2","9","W_9"
"26","DD-WTR-T2_R3","W","R","2","3","9","W_9"
"27","DD-WTR-T3_R1","W","R","3","1","13","W_13"
"28","DD-WTR-T3_R2","W","R","3","2","13","W_13"
"29","DD-WTR-T3_R3","W","R","3","3","13","W_13"
"30","DD-WTR-T4_R1","W","R","4","1","17","W_17"
"31","DD-WTR-T4_R2","W","R","4","2","17","W_17"
"32","DD-WTR-T4_R3","W","R","4","3","17","W_17"
"33","DD-WTR-T5_R1","W","R","5","1","21","W_21"
"34","DD-WTR-T5_R2","W","R","5","2","21","W_21"
"35","DD-WTR-T5_R3","W","R","5","3","21","W_21"
"36","DD-WTR-T6_R1","W","R","6","1","25","W_25"
"37","DD-WTR-T6_R2","W","R","6","2","25","W_25"
"38","DD-WTR-T6_R3","W","R","6","3","25","W_25"
"39","DD-WTR-T7_R1","W","R","7","1","29","W_29"
"40","DD-WTR-T7_R2","W","R","7","2","29","W_29"
"41","DD-WTR-T7_R3","W","R","7","3","29","W_29"
