"","sample","treatment","tissue","time","replicate","hours","group"
"1","DD-DTL-T1_R1","D","L","1","1","5","D_5"
"2","DD-DTL-T1_R2","D","L","1","2","5","D_5"
"3","DD-DTL-T1_R3","D","L","1","3","5","D_5"
"4","DD-DTL-T2_R1","D","L","2","1","9","D_9"
"5","DD-DTL-T2_R2","D","L","2","2","9","D_9"
"6","DD-DTL-T2_R3","D","L","2","3","9","D_9"
"7","DD-DTL-T3_R1","D","L","3","1","13","D_13"
"8","DD-DTL-T3_R2","D","L","3","2","13","D_13"
"9","DD-DTL-T3_R3","D","L","3","3","13","D_13"
"10","DD-DTL-T4_R1","D","L","4","1","17","D_17"
"11","DD-DTL-T4_R2","D","L","4","2","17","D_17"
"12","DD-DTL-T4_R3","D","L","4","3","17","D_17"
"13","DD-DTL-T5_R1","D","L","5","1","21","D_21"
"14","DD-DTL-T5_R2","D","L","5","2","21","D_21"
"15","DD-DTL-T5_R3","D","L","5","3","21","D_21"
"16","DD-DTL-T6_R1","D","L","6","1","25","D_25"
"17","DD-DTL-T6_R2","D","L","6","2","25","D_25"
"18","DD-DTL-T6_R3","D","L","6","3","25","D_25"
"19","DD-DTL-T7_R1","D","L","7","1","29","D_29"
"20","DD-DTL-T7_R2","D","L","7","2","29","D_29"
"21","DD-DTL-T7_R3","D","L","7","3","29","D_29"
"22","DD-WTL-T1_R1","W","L","1","1","5","W_5"
"23","DD-WTL-T1_R2","W","L","1","2","5","W_5"
"24","DD-WTL-T1_R3","W","L","1","3","5","W_5"
"25","DD-WTL-T2_R1","W","L","2","1","9","W_9"
"26","DD-WTL-T2_R2","W","L","2","2","9","W_9"
"27","DD-WTL-T2_R3","W","L","2","3","9","W_9"
"28","DD-WTL-T3_R1","W","L","3","1","13","W_13"
"29","DD-WTL-T3_R2","W","L","3","2","13","W_13"
"30","DD-WTL-T3_R3","W","L","3","3","13","W_13"
"31","DD-WTL-T4_R1","W","L","4","1","17","W_17"
"32","DD-WTL-T4_R2","W","L","4","2","17","W_17"
"33","DD-WTL-T4_R3","W","L","4","3","17","W_17"
"34","DD-WTL-T5_R1","W","L","5","1","21","W_21"
"35","DD-WTL-T5_R2","W","L","5","2","21","W_21"
"36","DD-WTL-T5_R3","W","L","5","3","21","W_21"
"37","DD-WTL-T6_R1","W","L","6","1","25","W_25"
"38","DD-WTL-T6_R2","W","L","6","2","25","W_25"
"39","DD-WTL-T6_R3","W","L","6","3","25","W_25"
"40","DD-WTL-T7_R1","W","L","7","1","29","W_29"
"41","DD-WTL-T7_R2","W","L","7","2","29","W_29"
"42","DD-WTL-T7_R3","W","L","7","3","29","W_29"
